Name,Author,Genre,Price,Reviews,Year,User Rating
Prilli i thyer,Ismail Kadare,Fiction,3,5.0,2002,4.92
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Non Fiction,17,5013.0,2009,4.6
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Non Fiction,5,798.0,2009,4.6
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Fiction,13,9769.0,2009,4.6
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,14,1542.0,2009,4.7
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Fiction,4,1541.0,2009,4.6
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,Fiction,15,3837.0,2009,4.8
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,Non Fiction,6,37.0,2009,4.6
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Fiction,12,3181.0,2009,4.8
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,Non Fiction,1,720.0,2009,4.5
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,Non Fiction,14,956.0,2009,4.3
Eclipse (Twilight Sagas),Stephenie Meyer,Fiction,7,5505.0,2009,4.7
Eclipse (Twilight),Stephenie Meyer,Fiction,18,5505.0,2009,4.7
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Non Fiction,11,1365.0,2009,4.6
Going Rogue: An American Life,Sarah Palin,Non Fiction,6,1636.0,2009,4.6
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,14,3457.0,2009,4.5
Have a Little Faith: A True Story,Mitch Albom,Non Fiction,4,1930.0,2009,4.8
"I, Alex Cross",James Patterson,Fiction,7,1320.0,2009,4.6
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Non Fiction,15,3828.0,2009,4.8
"Mastering the Art of French Cooking, Vol. 2",Julia Child,Non Fiction,27,2926.0,2009,4.8
New Moon (The Twilight Saga),Stephenie Meyer,Fiction,10,5680.0,2009,4.6
Olive Kitteridge,Elizabeth Strout,Fiction,12,4519.0,2009,4.2
Outliers: The Story of Success,Malcolm Gladwell,Non Fiction,20,10426.0,2009,4.6
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46,8580.0,2009,4.5
Sookie Stackhouse,Charlaine Harris,Fiction,25,973.0,2009,4.7
StrengthsFinder 2.0,Gallup,Non Fiction,17,5069.0,2009,4.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,Non Fiction,18,1583.0,2009,4.5
The 5000 Year Leap,W. Cleon Skousen,Non Fiction,12,1680.0,2009,4.8
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,24,9325.0,2009,4.6
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Non Fiction,53,858.0,2009,4.7
The Elegance of the Hedgehog,Muriel Barbery,Fiction,11,1859.0,2009,4.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6,3207.0,2009,4.6
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Non Fiction,9,803.0,2009,4.6
The Girl Who Played with Fire (Millennium),Stieg Larsson,Fiction,16,7251.0,2009,4.7
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,Fiction,2,10559.0,2009,4.4
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Fiction,10,8587.0,2009,4.7
The Help,Kathryn Stockett,Fiction,6,13871.0,2009,4.8
The Last Lecture,Randy Pausch,Non Fiction,9,4028.0,2009,4.7
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,7,4628.0,2009,4.8
The Lost Symbol,Dan Brown,Fiction,19,8747.0,2009,4.2
The Love Dare,Stephen Kendrick,Non Fiction,13,1655.0,2009,4.8
The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,8,19720.0,2009,4.6
The Time Traveler's Wife,Audrey Niffenegger,Fiction,6,3759.0,2009,4.4
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Non Fiction,9,3503.0,2009,4.4
The Twilight Saga Collection,Stephenie Meyer,Fiction,82,3801.0,2009,4.7
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Non Fiction,11,3319.0,2009,4.3
True Compass: A Memoir,Edward M. Kennedy,Non Fiction,15,438.0,2009,4.5
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Fiction,9,11676.0,2009,4.7
Under the Dome: A Novel,Stephen King,Fiction,20,6740.0,2009,4.3
Watchmen,Alan Moore,Fiction,42,3829.0,2009,4.8
Where the Wild Things Are,Maurice Sendak,Fiction,13,9967.0,2009,4.8
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,Non Fiction,2,460.0,2010,4.6
"Autobiography of Mark Twain, Vol. 1",Mark Twain,Non Fiction,14,491.0,2010,4.2
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,Non Fiction,21,615.0,2010,4.7
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,Non Fiction,8,471.0,2010,4.5
Catching Fire (The Hunger Games),Suzanne Collins,Fiction,11,22614.0,2010,4.7
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,14,1542.0,2010,4.7
Cutting for Stone,Abraham Verghese,Fiction,11,4866.0,2010,4.6
